x,t
36.448351,128.208746
36.447873,128.209113
36.448422,128.209148
36.456727,128.211793
36.457188,128.215888
36.459458,128.2117
36.460432,128.211278
36.459714,128.209578
36.459777,128.209926
36.46039,128.209782
36.459625,128.209056
36.459725,128.208531
36.460168,128.20802
36.460438,128.207797
36.46008,128.20677
36.459753,128.207885
36.458914,128.208474
36.461423,128.211379
36.462361,128.21115
36.462074,128.210255
36.461536,128.209116
36.47194,128.235982
36.471417,128.236081
36.471566,128.237855
36.47618,128.238137
36.476369,128.238495
36.493144,128.26252
36.47625,128.239376
36.4758,128.23895
36.476249,128.239901
36.476275,128.24028
36.471265,128.235478
36.475326,128.236874
36.49138,128.261311
36.49182,128.254079
36.491324,128.253854
36.492119,128.252964
36.492022,128.251993
36.492672,128.25186
36.492171,128.249985
36.490494,128.250035
36.490306,128.249721
36.490285,128.251094
36.453552,128.241727
36.453325,128.242484
36.45276,128.240877
36.444404,128.228011
36.44397,128.228891
36.443879,128.22936
36.44369,128.228891
36.443339,128.228979
36.44367,128.230039
36.452318,128.241143
36.451368,128.243215
36.444816,128.229262
36.444375,128.229216
36.444472,128.23012
36.444821,128.226797
36.445721,128.227424
36.44609,128.227625
36.446235,128.22708
36.447144,128.227819
36.447632,128.227374
36.523201,128.262234
36.445146,128.226441
36.444454,128.225457
36.444375,128.224252
36.445135,128.222636
36.445362,128.22208
36.445695,128.222371
36.446361,128.222473
36.446615,128.221882
36.446615,128.221548
36.447165,128.221427
36.447598,128.221417
36.448121,128.221329
36.448201,128.221742
36.448668,128.222937
36.448526,128.22133
36.448869,128.221019
36.449039,128.221678
36.450399,128.222284
36.447374,128.220779
36.446969,128.220266
36.463339,128.187175
36.458867,128.199314
36.458507,128.1989
36.46306,128.203364
36.463885,128.205687
36.464564,128.208924
36.468442,128.21274
36.470702,128.218693
36.446646,128.219841
36.445723,128.221568
36.444558,128.223137
36.456026,128.220783
36.453947,128.218936
36.443909,128.22772
36.445079,128.228437
36.450084,128.240578
36.449228,128.207354
36.476847,128.238028
36.476116,128.238796
36.474784,128.223671
36.493542,128.24049
36.493336,128.239887
36.492584,128.26319
36.508129,128.259872
36.524994,128.262407
36.493881,128.204326
36.490271,128.191079
36.489568,128.191122
36.490014,128.188099
36.492959,128.189177
36.493175,128.189535
36.49282,128.186264
36.478709,128.24858
36.522367,128.260288
36.442795,128.21596
36.504795,128.22427
36.480237,128.218697
36.481127,128.220128
36.48134,128.221882
36.489324,128.191077
36.492239,128.188494
36.490496,128.191013
36.500197,128.194252
36.504137,128.193525
36.493219,128.239831
36.473534,128.236321
36.444244,128.226695
36.443935,128.228109
36.44858,128.240284
36.459377,128.21142
36.468416,128.216902
36.447425,128.226937
36.468252,128.186428
36.469011,128.184711
36.45281,128.220026
36.491012,128.189641
36.473901,128.223847
36.482301,128.20366
36.493465,128.204861
36.507144,128.195397
36.52017,128.263552
36.472894,128.23623
36.504731,128.219549
36.501834,128.221617
36.450938,128.241842
